,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
777,L,AKU,G5,SRJN,PNS,PSN,LTW
5354,P,HUK,G4,SMTA,PNS,PNS,LTW
3337,P,KOM,G7,SRJN,PNS,PS,LTW
5142,P,HUK,G3,SRJN,PS,PS,LTW
954,P,AKU,G6,SRJN,LL,PNS,LTW
5661,P,HUK,G4,SMTA,PDG,PNS,LTW
5850,P,HUK,G4,SRJN,LL,PDG,LTW
1850,P,EKO,G3,SMTA,PS,PDG,LTW
6047,P,HUK,G2,SRJN,PS,LL,LTW
2082,P,EKO,G4,SRJN,LL,PS,LTW
1997,P,EKO,G4,SRJN,LL,PDG,LTW
974,P,AKU,G3,SMTA,LL,PNS,LTW
5991,P,HUK,G4,SMTA,PNS,PNS,LTW
999,P,AKU,G4,SMTA,LL,LL,LTW
871,P,AKU,G3,SRJN,PNS,PDG,LTW
719,L,AKU,G4,SRJN,LL,PS,LTW
856,P,AKU,G3,LL,PDG,PDG,LTW
1160,L,AKU,G3,SRJN,GRD,PSN,LTW
5893,P,HUK,G2,LL,LL,PDG,LTW
5360,L,HUK,G3,SMTA,PNS,PNS,LTW
5972,P,HUK,G3,SMTA,GRD,GRD,LTW
2277,L,EKO,G3,SRJN,GRD,PNS,LTW
6126,P,HUK,G4,SRJN,GRD,PNS,LTW
3328,L,KOM,G5,SRJN,LL,PS,LTW
3388,P,KOM,G4,SRJN,PNS,PNS,LTW
6344,P,HUK,G2,SMTA,LL,PDG,LTW
968,L,AKU,G1,SMTA,PDG,LL,LTW
742,P,AKU,G2,SD,PDG,PDG,LTW
828,P,AKU,G4,SMTA,PDG,PS,LTW
6354,P,HUK,G3,SMTA,LL,PDG,LTW
2061,P,EKO,G3,SMTA,LL,PNS,LTW
1135,P,AKU,G4,SRJN,GRD,PDG,LTW
5434,L,HUK,G4,SRJN,LL,PSN,LTW
1052,P,AKU,G3,SMTA,PDG,PDG,LTW
6000,P,HUK,G4,SMP,LL,PDG,LTW
1778,P,EKO,G3,SMTA,PNS,PS,LTW
1991,P,EKO,G4,SRJN,GRD,GRD,LTW
2150,L,EKO,G3,SMTA,PS,GRD,LTW
770,P,AKU,G4,SRJN,PNS,PNS,LTW
1064,P,AKU,G4,SRJN,PDG,PNS,LTW
929,P,AKU,G2,SMTA,PDG,PDG,LTW
5487,P,HUK,G2,SMP,LL,PS,LTW
2209,P,EKO,G5,SMTA,LL,PNS,LTW
2266,L,EKO,G4,SMTA,LL,PDG,LTW
1066,L,AKU,G4,SRJN,PS,PNS,LTW
1975,P,EKO,G2,SMTA,LL,PDG,LTW
6241,P,HUK,G5,SMTA,PDG,PDG,LTW
6149,L,HUK,G4,SMTA,LL,PNS,LTW
906,P,AKU,G4,SRJN,LL,GRD,LTW
2076,L,EKO,G1,SMP,LL,PSN,LTW
1203,P,AKU,G3,SRJN,GRD,PS,LTW
5465,L,HUK,G3,SMTA,PDG,PNS,LTW
6307,L,HUK,G5,SRJN,PNS,PS,LTW
