,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
1187,L,MTK,G3,LL,PDG,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
2140,L,IF,G4,SRJN,PDG,PNS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
1636,L,BIO,G3,SMTA,PNS,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
1764,P,BIO,G3,SMTA,PDG,PNS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
2237,L,IF,G4,SMTA,PNS,PSN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
926,L,MTK,G2,SMTA,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
1671,P,BIO,G3,SRJN,GRD,GRD,IPS1_M,IPS2_KM,SKS1_C,SKS2_B,LLW
1160,L,MTK,G3,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2051,L,IF,G3,SRJN,LL,PS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,LLW
1916,P,BIO,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LLW
2184,L,IF,G4,SMTA,PDG,PNS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LLW
1101,P,MTK,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
322,P,FISIKA,G1,SRJN,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1806,P,BIO,G4,SRJN,LL,GRD,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,LLW
2115,L,IF,G4,SRJN,LL,PNS,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LLW
1689,P,BIO,G3,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
871,P,MTK,G1,SD,LL,BPN,IPS1_KM,IPS2_KM,SKS1_K,SKS2_B,LLW
1031,L,MTK,G2,SD,LL,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
337,P,FISIKA,G2,SMTA,PDG,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
2146,P,IF,G3,SMTA,LL,PNS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
2077,L,IF,G2,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
336,L,FISIKA,G5,SRJN,GRD,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1184,P,MTK,G3,SMTA,LL,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_SB,LLW
1290,L,MTK,G3,SMTA,LL,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
1127,P,MTK,G2,SMTA,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
2197,P,IF,G6,SRJN,LL,PNS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
2063,L,IF,G2,SD,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1758,P,BIO,G4,SMTA,PDG,PNS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
2106,L,IF,G3,SD,PDG,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
1966,L,BIO,G7,SMTA,GRD,PS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_B,LLW
1507,L,BIO,G2,SMTA,LL,PS,IPS1_M,IPS2_M,SKS1_B,SKS2_SB,LLW
148,P,FISIKA,G3,SMTA,LL,GRD,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
1634,P,BIO,G3,SMTA,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2081,P,IF,G3,SRJN,GRD,PSN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LLW
2097,L,IF,G2,SMTA,LL,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
296,P,FISIKA,G1,SD,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
516,P,FISIKA,G2,SMTA,LL,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_SB,LLW
1521,P,BIO,G1,SD,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
2281,L,IF,G7,SRJN,LL,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
1949,P,BIO,G4,SRJN,LL,PS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
1866,P,BIO,G3,SD,PDG,PDG,IPS1_M,IPS2_CUM,SKS1_B,SKS2_SB,LLW
1914,L,BIO,G2,SD,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
517,L,FISIKA,G2,SD,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
124,L,FISIKA,G3,SMTA,LL,GRD,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
363,P,FISIKA,G3,SD,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
238,P,FISIKA,G1,SD,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
548,P,FISIKA,G4,SRJN,PNS,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
1007,P,MTK,G1,SMTA,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1569,L,BIO,G4,SMTA,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2071,L,IF,G3,SRJN,GRD,GRD,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
954,L,MTK,G2,SD,LL,PDG,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LLW
279,L,FISIKA,G3,SD,LL,PS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LLW
951,P,MTK,G3,LL,LL,PDG,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
1021,P,MTK,G3,SMTA,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1988,P,BIO,G4,SMTA,LL,LL,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
1862,P,BIO,G6,SRJN,GRD,PSN,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,LLW
455,P,FISIKA,G4,SMTA,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
976,P,MTK,G4,SRJN,PNS,PNS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
1217,P,MTK,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
411,P,FISIKA,G2,SD,LL,PS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
1931,P,BIO,G4,SRJN,PNS,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
1082,P,MTK,G4,SMTA,LL,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
2112,L,IF,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LLW
2109,P,IF,G1,SRJN,PDG,PDG,IPS1_KM,IPS2_CUM,SKS1_B,SKS2_B,LLW
1613,P,BIO,G3,SMTA,LL,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
941,P,MTK,G2,SMTA,LL,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
2157,L,IF,G3,SRJN,GRD,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2058,L,IF,G2,SD,BPN,BPN,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LLW
205,L,FISIKA,G1,LL,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1046,L,MTK,G3,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1126,L,MTK,G4,SMTA,PS,PS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
849,L,MTK,G2,SD,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
2307,L,IF,G4,SMTA,LL,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
338,L,FISIKA,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2305,P,IF,G4,SRJN,PNS,PNS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,LLW
