,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,kelas
1967,P,EKO,G2,SMP,LL,PSN,IPS1_SM,IPS2_SM,IPK_SM-LTW
1968,L,EKO,G2,SMTA,PDG,PDG,IPS1_KM,IPS2_SM,IPK_SM-LLW
1969,P,EKO,G2,SMTA,PS,PS,IPS1_CUM,IPS2_SM,IPK_CUM-LLW
1970,L,EKO,G4,SRJN,GRD,GRD,IPS1_M,IPS2_SM,IPK_SM-LTW
1971,P,EKO,G4,SMTA,LL,PNS,IPS1_SM,IPS2_SM,IPK_CUM-LTW
1973,L,EKO,G3,SD,PDG,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
1977,L,EKO,G4,SMTA,LL,PNS,IPS1_M,IPS2_SM,IPK_SM-LLW
1979,P,EKO,G3,SRJN,PS,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
1981,L,EKO,G2,SMP,BPN,BPN,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
1988,P,EKO,G3,SRJN,PNS,GRD,IPS1_SM,IPS2_SM,IPK_CUM-LLW
1989,P,EKO,G2,SMP,LL,PDG,IPS1_SM,IPS2_SM,IPK_CUM-LTW
1990,P,EKO,G3,SRJN,LL,PS,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
1993,L,EKO,G3,SMTA,LL,PSN,IPS1_M,IPS2_SM,IPK_SM-LTW
1997,P,EKO,G4,SRJN,LL,PDG,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1999,L,EKO,G4,SRJN,GRD,PSN,IPS1_SM,IPS2_M,IPK_CUM-LTW
2002,P,EKO,G5,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,IPK_SM-LLW
2003,L,EKO,G4,SMTA,LL,PNS,IPS1_SM,IPS2_M,IPK_SM-LTW
2005,P,EKO,G4,SMTA,PDG,GRD,IPS1_SM,IPS2_M,IPK_SM-LTW
