,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
67,P,AKU,G4,SMTA,LL,LL,IPK_SM
68,P,AKU,G5,SRJN,PDG,GRD,IPK_SM
69,L,AKU,G3,SMP,PDG,PS,IPK_SM
70,P,AKU,G5,SRJN,GRD,GRD,IPK_CUM
71,L,AKU,G4,SMTA,LL,PSN,IPK_SM
72,L,AKU,G4,SRJN,GRD,GRD,IPK_SM
73,L,AKU,G4,SRJN,PDG,PNS,IPK_CUM
74,P,AKU,G3,SMTA,LL,GRD,IPK_CUM
75,L,AKU,G4,SMTA,PSN,PSN,IPK_CUM
76,P,AKU,G3,SRJN,PDG,LL,IPK_SM
77,L,AKU,G2,SMTA,LL,PS,IPK_SM
78,P,AKU,G4,SMTA,PNS,PSN,IPK_CUM
79,P,AKU,G3,SRJN,LL,PSN,IPK_SM
80,L,AKU,G3,SD,LL,PNS,IPK_M
81,P,AKU,G4,SRJN,GRD,LL,IPK_CUM
82,L,AKU,G4,SMP,LL,PDG,IPK_CUM
83,P,AKU,G3,SD,PDG,PS,IPK_CUM
84,P,AKU,G4,SMTA,PDG,PS,IPK_SM
85,P,AKU,G4,SRJN,PNS,PDG,IPK_SM
86,L,AKU,G3,SMTA,PS,PS,IPK_SM
87,L,AKU,G2,LL,PDG,BPN,IPK_SM
88,P,AKU,G2,SRJN,PS,PS,IPK_SM
89,L,AKU,G5,SMTA,LL,PS,IPK_SM
90,P,AKU,G3,SRJN,GRD,PNS,IPK_SM
91,L,AKU,G4,SRJN,PSN,GRD,IPK_SM
92,P,AKU,G3,SMTA,LL,PS,IPK_SM
93,P,AKU,G3,SMTA,LL,PDG,IPK_SM
94,L,AKU,G3,SD,LL,PNS,IPK_SM
95,L,AKU,G3,SRJN,PNS,PS,IPK_SM
96,L,AKU,G3,SMTA,LL,PNS,IPK_SM
97,P,AKU,G3,SRJN,PDG,BPN,IPK_SM
98,P,AKU,G3,SRJN,LL,PSN,IPK_SM
99,P,AKU,G2,SD,LL,BPN,IPK_CUM
100,P,AKU,G4,SRJN,PS,PS,IPK_SM
101,P,AKU,G4,SRJN,PNS,PS,IPK_CUM
102,L,AKU,G4,SRJN,PSN,PSN,IPK_CUM
103,L,AKU,G7,SRJN,GRD,GRD,IPK_SM
104,P,AKU,G6,SMTA,PNS,PNS,IPK_SM
105,P,AKU,G4,SMTA,LL,PNS,IPK_SM
106,P,AKU,G1,SMTA,LL,PSN,IPK_KM
107,P,AKU,G3,LL,PDG,PDG,IPK_SM
108,P,AKU,G3,SMP,LL,ABRI,IPK_SM
109,P,AKU,G4,SRJN,GRD,LL,IPK_SM
110,L,AKU,G4,SMTA,PNS,GRD,IPK_SM
111,P,AKU,G6,SRJN,PNS,PNS,IPK_SM
112,P,AKU,G2,LL,LL,PDG,IPK_SM
113,P,AKU,G3,SRJN,GRD,GRD,IPK_CUM
114,L,AKU,G4,SRJN,GRD,PS,IPK_SM
115,P,AKU,G4,SRJN,GRD,PNS,IPK_SM
116,P,AKU,G2,SMP,LL,PDG,IPK_CUM
117,P,AKU,G4,SMTA,LL,PDG,IPK_SM
118,P,AKU,G3,SRJN,PNS,PDG,IPK_SM
