,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
306,P,AKU,G2,SMP,BPN,BPN,LLW
307,L,AKU,G4,SMTA,LL,PDG,LTW
308,L,AKU,G3,SMP,PDG,PSN,LLW
309,P,AKU,G4,SRJN,LL,GRD,LTW
310,L,AKU,G4,SMTA,LL,PS,LTW
311,L,AKU,G5,LL,LL,PS,LLW
312,P,AKU,G3,SMTA,LL,LL,LTW
313,L,AKU,G7,SMTA,LL,PNS,LLW
314,L,AKU,G1,SD,LL,LL,LTW
315,L,AKU,G3,SMTA,LL,PDG,LTW
316,L,AKU,G4,SRJN,GRD,PSN,LTW
317,P,AKU,G3,SMTA,LL,PDG,LTW
318,P,AKU,G5,SRJN,PDG,PS,LTW
319,P,AKU,G4,LL,PNS,PNS,LTW
320,L,AKU,G7,SRJN,PS,LL,LTW
321,P,AKU,G4,SMTA,PNS,PS,LTW
322,L,AKU,G2,SMP,LL,PDG,LTW
323,P,AKU,G2,LL,LL,PS,LTW
324,P,AKU,G2,SMP,LL,LL,LLW
325,L,AKU,G3,SRJN,PDG,PDG,LTW
326,P,AKU,G4,SRJN,LL,PS,LTW
327,L,AKU,G4,SRJN,PDG,GRD,LTW
328,P,AKU,G3,SMTA,LL,PS,LTW
329,P,AKU,G6,SMTA,PSN,PDG,LTW
330,P,AKU,G6,SRJN,LL,PS,LTW
331,P,AKU,G4,SRJN,GRD,GRD,LLW
332,L,AKU,G4,SRJN,LL,PNS,LC
333,L,AKU,G4,SRJN,GRD,BPN,LTW
334,L,AKU,G4,SRJN,PS,PNS,LTW
335,P,AKU,G4,SRJN,PSN,PSN,LTW
336,P,AKU,G3,SMP,LL,PS,LLW
337,L,AKU,G7,SMTA,LL,PS,LTW
338,L,AKU,G3,SRJN,LL,PSN,LTW
339,L,AKU,G4,SRJN,PDG,PDG,LLW
340,P,AKU,G5,SMTA,LL,PS,LTW
341,P,AKU,G4,SRJN,GRD,PNS,LTW
342,P,AKU,G5,SRJN,PNS,PNS,LLW
343,P,AKU,G4,SRJN,GRD,PS,LTW
344,P,AKU,G7,SRJN,PS,PS,LTW
345,L,AKU,G4,SMP,PDG,LL,LTW
346,P,AKU,G1,SD,LL,LL,LTW
347,P,AKU,G3,SMTA,LL,PDG,LLW
348,P,AKU,G4,SRJN,PDG,LL,LLW
349,P,AKU,G1,SMTA,LL,PDG,LTW
350,P,AKU,G3,SMTA,LL,PS,LTW
351,L,AKU,G4,SRJN,LL,PDG,LLW
352,L,AKU,G1,SMTA,LL,LL,LLW
353,P,AKU,G4,SRJN,GRD,LL,LTW
354,P,AKU,G2,SD,LL,BPN,LTW
355,L,AKU,G5,SRJN,GRD,PS,LTW
356,P,EKO,G3,SMTA,PSN,PSN,LLW
