,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
288,P,MTK,G2,SMP,PDG,PDG,IPK_SM
289,P,MTK,G1,LL,LL,PDG,IPK_SM
290,L,MTK,G1,LL,BPN,BPN,IPK_SM
291,L,MTK,G2,SD,LL,PNS,IPK_SM
292,P,MTK,G2,SD,LL,PS,IPK_CUM
293,P,MTK,G3,SRJN,GRD,GRD,IPK_SM
294,P,MTK,G2,SMTA,LL,GRD,IPK_SM
295,P,MTK,G2,SMTA,PDG,PDG,IPK_CUM
296,P,MTK,G3,SRJN,GRD,PDG,IPK_SM
297,P,MTK,G2,SD,BPN,BPN,IPK_M
298,P,MTK,G3,SRJN,PDG,GRD,IPK_M
299,L,MTK,G3,SRJN,GRD,GRD,IPK_SM
300,P,MTK,G3,SRJN,PNS,PNS,IPK_SM
301,P,MTK,G3,SMTA,PS,GRD,IPK_SM
302,L,MTK,G3,SMTA,GRD,GRD,IPK_SM
303,P,MTK,G2,SRJN,GRD,BPN,IPK_M
304,L,MTK,G2,SD,BPN,BPN,IPK_KM
305,P,MTK,G3,SMP,PS,PNS,IPK_SM
306,L,MTK,G3,SD,LL,GRD,IPK_SM
307,P,MTK,G2,SMP,LL,PDG,IPK_KM
308,L,MTK,G2,LL,LL,PSN,IPK_SM
309,P,MTK,G3,SMP,LL,PNS,IPK_SM
310,P,MTK,G3,SRJN,GRD,PDG,IPK_SM
311,P,MTK,G2,SMTA,PDG,LL,IPK_KM
312,P,MTK,G2,SMP,LL,PSN,IPK_KM
313,P,MTK,G3,SRJN,GRD,GRD,IPK_SM
314,P,MTK,G3,SRJN,GRD,PNS,IPK_SM
315,P,MTK,G3,SMP,LL,GRD,IPK_SM
316,L,MTK,G3,SRJN,GRD,PS,IPK_KM
317,P,MTK,G2,SD,LL,BPN,IPK_SM
318,P,MTK,G3,SRJN,GRD,PS,IPK_CUM
