,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
133,P,AKU,G4,SRJN,PS,PNS,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
134,P,AKU,G2,SMTA,LL,LL,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
135,P,AKU,G2,SRJN,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
136,P,AKU,G4,SRJN,PNS,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,LLW
137,P,AKU,G3,SRJN,LL,PS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
138,L,AKU,G3,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LTW
139,L,AKU,G4,SMP,BPN,GRD,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
140,L,AKU,G3,SRJN,GRD,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
141,P,AKU,G4,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LTW
142,P,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LLW
143,P,AKU,G5,SMTA,PNS,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
144,L,AKU,G4,SRJN,PS,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
145,L,AKU,G4,SRJN,PS,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
146,P,AKU,G3,SRJN,GRD,PS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LTW
147,L,AKU,G3,SRJN,PSN,PSN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LLW
148,P,AKU,G4,SMTA,PDG,PDG,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
149,P,AKU,G4,SRJN,PDG,PDG,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
150,P,AKU,G3,SMTA,LL,PS,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LTW
151,P,AKU,G2,SMP,BPN,BPN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
152,P,AKU,G4,SRJN,GRD,LL,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
153,L,AKU,G4,SRJN,GRD,GRD,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
154,P,AKU,G2,LL,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
155,L,AKU,G3,SMTA,LL,PNS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LTW
156,P,AKU,G3,SRJN,GRD,GRD,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
157,P,AKU,G5,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LTW
158,L,AKU,G3,SRJN,LL,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
159,P,AKU,G4,SMTA,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
160,P,AKU,G4,SMTA,LL,PSN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
161,L,AKU,G5,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
162,P,AKU,G2,SD,LL,LL,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LTW
163,P,AKU,G5,SRJN,GRD,PSN,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LTW
164,P,AKU,G4,SD,LL,PDG,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
165,L,AKU,G4,SMTA,PSN,PNS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
166,P,AKU,G3,SRJN,PDG,PDG,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
167,L,AKU,G4,SRJN,GRD,LL,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
168,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
169,P,AKU,G3,SMTA,GRD,LL,IPS1_M,IPS2_SM,SKS1_B,SKS2_SB,LLW
170,P,AKU,G3,SMTA,PDG,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
171,L,AKU,G3,SMP,PSN,PSN,IPS1_M,IPS2_SM,SKS1_B,SKS2_SB,LTW
172,L,AKU,G3,SRJN,PDG,ABRI,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LTW
173,P,AKU,G6,SRJN,PNS,PNS,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
174,P,AKU,G5,SRJN,PNS,ABRI,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
175,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
176,P,AKU,G4,SMTA,LL,PS,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LLW
177,L,AKU,G4,SRJN,LL,PSN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
178,L,AKU,G4,SRJN,LL,GRD,IPS1_SM,IPS2_KM,SKS1_B,SKS2_SB,LLW
179,P,AKU,G4,SMTA,PS,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
180,P,AKU,G5,SRJN,LL,LL,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
181,P,AKU,G4,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
