,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,kelas
3209,P,KOM,G3,SRJN,PNS,GRD,IPS1_CUM,IPS2_CUM,IPK_SM-LTW
6070,L,HUK,G3,SRJN,GRD,PSN,IPS1_KM,IPS2_KM,IPK_KM-LLW
5897,P,HUK,G4,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
1141,L,AKU,G7,SMTA,LL,PNS,IPS1_M,IPS2_SM,IPK_SM-LLW
6348,P,HUK,G7,SRJN,LL,PNS,IPS1_SM,IPS2_SM,IPK_SM-LLW
5641,L,HUK,G4,SMTA,LL,PDG,IPS1_KM,IPS2_KM,IPK_SM-LLW
5918,L,HUK,G4,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,IPK_M-LLW
1113,L,AKU,G7,SRJN,PS,PS,IPS1_SM,IPS2_SM,IPK_CUM-LLW
6048,L,HUK,G4,SRJN,PDG,PDG,IPS1_M,IPS2_M,IPK_SM-LLW
1983,L,EKO,G4,SMTA,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LLW
6332,P,HUK,G4,SMTA,LL,ABRI,IPS1_SM,IPS2_SM,IPK_SM-LLW
947,L,AKU,G4,SRJN,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LLW
1109,L,AKU,G3,SRJN,GRD,LL,IPS1_M,IPS2_SM,IPK_SM-LLW
2098,L,EKO,G4,SRJN,GRD,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
3436,L,KOM,G2,SRJN,PS,PDG,IPS1_SM,IPS2_SM,IPK_SM-LLW
2132,P,EKO,G3,SMTA,LL,PS,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
2250,L,EKO,G4,SMTA,LL,PSN,IPS1_SM,IPS2_CUM,IPK_SM-LLW
3332,P,KOM,G7,SMTA,LL,PDG,IPS1_KM,IPS2_SM,IPK_SM-LTW
1059,L,AKU,G5,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,IPK_SM-LTW
5776,L,HUK,G3,SMTA,GRD,GRD,IPS1_SM,IPS2_KM,IPK_CUM-LLW
1812,P,EKO,G2,SMTA,PDG,PDG,IPS1_M,IPS2_SM,IPK_KM-LLW
1962,L,EKO,G2,SMTA,LL,PDG,IPS1_M,IPS2_SM,IPK_SM-LTW
1061,L,AKU,G6,SRJN,LL,PDG,IPS1_SM,IPS2_CUM,IPK_SM-LLW
6087,L,HUK,G3,SRJN,GRD,PSN,IPS1_KM,IPS2_KM,IPK_M-LLW
1788,P,EKO,G4,SMTA,LL,GRD,IPS1_CUM,IPS2_SM,IPK_SM-LTW
2273,L,EKO,G4,SMTA,LL,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
3142,P,KOM,G2,SMTA,PDG,LL,IPS1_CUM,IPS2_SM,IPK_SM-LLW
958,P,AKU,G4,SMTA,LL,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
6325,L,HUK,G4,SRJN,GRD,ABRI,IPS1_KM,IPS2_KM,IPK_SM-LLW
2099,L,EKO,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_M,IPK_SM-LLW
5883,L,HUK,G4,SRJN,LL,LL,IPS1_SM,IPS2_SM,IPK_CUM-LLW
1769,P,EKO,G4,SMTA,PDG,PNS,IPS1_CUM,IPS2_SM,IPK_CUM-LLW
2227,P,EKO,G4,SRJN,GRD,PSN,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
2290,P,EKO,G2,SD,BPN,BPN,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
3180,L,KOM,G4,SMTA,PDG,PNS,IPS1_SM,IPS2_SM,IPK_KM-LLW
5123,L,HUK,G4,SMP,PDG,GRD,IPS1_KM,IPS2_KM,IPK_M-LLW
6190,P,HUK,G4,SRJN,GRD,PNS,IPS1_M,IPS2_M,IPK_SM-LTW
933,P,AKU,G4,SMTA,LL,PSN,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
5715,L,HUK,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,IPK_M-LLW
5665,P,HUK,G4,SRJN,PNS,PDG,IPS1_KM,IPS2_KM,IPK_M-LLW
819,P,AKU,G3,SRJN,LL,PSN,IPS1_SM,IPS2_M,IPK_SM-LLW
5162,P,HUK,G1,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,IPK_M-LLW
2014,L,EKO,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,IPK_SM-LLW
912,P,AKU,G5,SMTA,PNS,GRD,IPS1_SM,IPS2_SM,IPK_SM-LTW
5578,P,HUK,G3,SMTA,LL,PDG,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
5671,L,HUK,G3,SD,PDG,BPN,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
3325,P,KOM,G3,SRJN,PS,PNS,IPS1_SM,IPS2_M,IPK_SM-LLW
6018,L,HUK,G4,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,IPK_M-LLW
6062,P,HUK,G3,SRJN,LL,PS,IPS1_M,IPS2_M,IPK_SM-LC
3413,P,KOM,G2,SMP,LL,BPN,IPS1_CUM,IPS2_CUM,IPK_KM-LTW
5360,L,HUK,G3,SMTA,PNS,PNS,IPS1_SM,IPS2_M,IPK_CUM-LTW
850,L,AKU,G4,SRJN,PSN,PSN,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
