,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,STATUS_LULUS
184,P,FISIKA,G2,LL,BPN,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,LLW_1
185,P,FISIKA,G2,SD,BPN,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_SM,LLW_1
186,L,FISIKA,G3,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LTW
187,P,FISIKA,G2,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,LLW_1
188,L,FISIKA,G3,SMTA,LL,GRD,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
189,L,FISIKA,G3,SRJN,PDG,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,LTW
190,P,FISIKA,G2,SD,LL,PDG,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,LLW_1
191,P,FISIKA,G3,LL,PDG,PDG,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LLW_1
192,P,FISIKA,G3,SRJN,PSN,PSN,SKS1_B,SKS2_B,IPS1_M,IPS2_M,LLW_1
193,L,FISIKA,G5,SRJN,PS,PS,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LLW_1
194,L,FISIKA,G4,SMTA,LL,LL,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LTW
195,L,FISIKA,G2,SMTA,PDG,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LTW
196,L,FISIKA,G4,SMP,LL,PDG,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,LLW_1
197,L,FISIKA,G3,SMTA,LL,LL,SKS1_B,SKS2_B,IPS1_KM,IPS2_CUM,LTW
198,L,FISIKA,G3,SMTA,BPN,PDG,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LLW_2
199,L,FISIKA,G4,SRJN,GRD,PSN,SKS1_B,SKS2_B,IPS1_M,IPS2_M,LTW
