,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
811,P,KOM,G3,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
812,P,KOM,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
813,L,KOM,G3,SMP,PDG,PDG,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_B,LLW
814,P,KOM,G7,SRJN,PS,PS,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_B,LLW
815,L,KOM,G5,SRJN,GRD,PDG,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_C,LLW
816,L,KOM,G4,SMTA,PDG,GRD,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
817,P,KOM,G4,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
818,P,KOM,G4,SMTA,LL,PNS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
819,P,KOM,G2,SMP,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
820,L,KOM,G3,SRJN,LL,PNS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
821,P,KOM,G2,SRJN,PDG,BPN,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
822,P,KOM,G3,SRJN,GRD,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
823,L,KOM,G7,SRJN,LL,PS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_B,LLW
824,P,KOM,G4,SRJN,PDG,LL,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
825,P,KOM,G3,SMTA,PSN,PS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
826,P,KOM,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
827,P,KOM,G3,SMTA,PS,PS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LLW
828,L,KOM,G2,SD,BPN,BPN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
829,P,KOM,G3,SRJN,PSN,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
830,P,KOM,G4,SMTA,LL,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
831,P,KOM,G3,SRJN,PNS,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
832,L,KOM,G4,SMTA,PSN,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
833,L,KOM,G2,SMTA,PDG,BPN,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_B,LLW
834,L,KOM,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
835,P,KOM,G3,SMTA,PS,PDG,IPS1_M,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
836,P,KOM,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
837,P,KOM,G3,SRJN,GRD,PSN,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
838,L,KOM,G4,SRJN,LL,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
