,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
653,L,AKU,G4,SMTA,PDG,PNS,IPK_SM
6024,P,HUK,G5,SRJN,GRD,PNS,IPK_SM
6381,P,HUK,G4,SRJN,PNS,PSN,IPK_SM
801,L,AKU,G6,SMTA,LL,LL,IPK_SM
1782,P,EKO,G1,SMP,PDG,PDG,IPK_SM
3096,P,KOM,G3,SMTA,PNS,PNS,IPK_SM
5387,P,HUK,G3,SRJN,PDG,PDG,IPK_SM
3226,P,KOM,G2,LL,PDG,BPN,IPK_SM
3239,L,KOM,G3,SMP,PDG,PDG,IPK_SM
2139,L,EKO,G4,SMTA,PNS,PNS,IPK_SM
3475,P,KOM,G7,SRJN,PNS,PS,IPK_SM
5489,P,HUK,G1,SMTA,LL,PSN,IPK_SM
1135,P,AKU,G4,SRJN,GRD,PDG,IPK_SM
5667,L,HUK,G3,SMTA,LL,ABRI,IPK_SM
3146,L,KOM,G4,SRJN,GRD,LL,IPK_SM
952,P,AKU,G4,SRJN,PNS,PS,IPK_SM
1865,L,EKO,G3,SRJN,GRD,PDG,IPK_SM
5555,L,HUK,G3,SMTA,LL,PS,IPK_SM
3311,P,KOM,G4,SD,LL,PDG,IPK_SM
5398,L,HUK,G6,SRJN,LL,PNS,IPK_SM
3427,L,KOM,G7,SRJN,GRD,PS,IPK_SM
5832,L,HUK,G4,SRJN,GRD,LL,IPK_SM
3367,P,KOM,G4,SRJN,LL,PNS,IPK_SM
3177,P,KOM,G4,SRJN,PNS,PDG,IPK_SM
5849,P,HUK,G4,SMTA,LL,PSN,IPK_SM
1962,L,EKO,G2,SMTA,LL,PDG,IPK_SM
3432,L,KOM,G5,SRJN,PNS,GRD,IPK_SM
1877,P,EKO,G4,SRJN,PDG,GRD,IPK_SM
5841,L,HUK,G3,SMTA,LL,PNS,IPK_SM
3248,P,KOM,G4,SMTA,LL,PS,IPK_SM
2048,L,EKO,G7,SRJN,PNS,PNS,IPK_SM
2240,P,EKO,G7,SRJN,GRD,GRD,IPK_SM
6292,L,HUK,G3,SRJN,GRD,BPN,IPK_SM
5861,P,HUK,G4,SMTA,LL,ABRI,IPK_SM
2186,L,EKO,G4,SMTA,PNS,GRD,IPK_SM
6174,L,HUK,G3,SMTA,PDG,PS,IPK_SM
1968,L,EKO,G2,SMTA,PDG,PDG,IPK_SM
872,L,AKU,G4,SRJN,GRD,PNS,IPK_SM
