,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
6336,L,HUK,G5,SRJN,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2114,L,EKO,G4,SRJN,LL,PNS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LLW
2239,P,EKO,G3,SMTA,GRD,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
3258,P,KOM,G3,SMTA,LL,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
3284,P,KOM,G6,SD,LL,BPN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
2223,P,EKO,G4,SMTA,LL,GRD,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
6271,L,HUK,G3,SRJN,PDG,PDG,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LLW
1116,P,AKU,G4,SMTA,LL,ABRI,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
6206,P,HUK,G3,SRJN,LL,PS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
6065,L,HUK,G4,SRJN,LL,ABRI,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LLW
5533,P,HUK,G3,SRJN,PS,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
6255,P,HUK,G4,SMTA,LL,PNS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LTW
5664,P,HUK,G4,SRJN,GRD,PDG,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
6364,L,HUK,G4,SMTA,PDG,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_SB,LTW
3130,P,KOM,G1,SMTA,BPN,BPN,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
6021,P,HUK,G3,SMTA,GRD,GRD,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LC
