,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
577,L,MTK,G7,SRJN,GRD,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
578,P,MTK,G4,SMTA,PDG,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LTW
579,P,MTK,G5,SRJN,GRD,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
580,P,MTK,G2,SMTA,LL,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
581,P,MTK,G3,SMTA,BPN,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
582,P,MTK,G2,SD,BPN,BPN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
583,P,MTK,G3,SMTA,LL,PS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LTW
584,P,MTK,G4,SRJN,PNS,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
585,L,MTK,G3,SMTA,LL,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
586,L,MTK,G1,SRJN,LL,LL,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
587,P,MTK,G4,SMTA,LL,PS,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
588,P,MTK,G3,SMP,PDG,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
589,P,MTK,G4,SRJN,PNS,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
590,P,MTK,G3,SMTA,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
591,P,MTK,G2,SMTA,BPN,LL,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,LTW
592,L,MTK,G3,SD,PDG,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
593,P,MTK,G3,SMTA,PDG,LL,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LLW
594,P,MTK,G4,SMTA,PDG,LL,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,LTW
595,P,BIO,G2,SD,LL,BPN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
596,L,BIO,G3,SMP,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
597,P,BIO,G2,SRJN,GRD,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
598,P,BIO,G3,SMTA,LL,PNS,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
599,P,BIO,G1,SD,BPN,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
600,P,BIO,G3,SD,LL,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
601,P,BIO,G3,LL,PDG,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LLW
602,P,BIO,G3,SRJN,GRD,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
603,P,BIO,G3,SRJN,GRD,PNS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
604,L,BIO,G2,SMTA,LL,PS,IPS1_M,IPS2_M,SKS1_B,SKS2_SB,LLW
605,P,BIO,G2,SD,PDG,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
606,P,BIO,G3,SMP,PDG,PDG,IPS1_M,IPS2_CUM,SKS1_SB,SKS2_B,LLW
607,P,BIO,G4,SMP,LL,PNS,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LLW
