,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
206,P,FISIKA,G1,SMP,LL,LL,IPS1_KM,IPS2_M,SKS1_B,SKS2_C,IPK_M
1277,P,MTK,G5,SRJN,GRD,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
1736,P,BIO,G3,LL,PDG,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
942,P,MTK,G2,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
504,P,FISIKA,G4,SMTA,LL,GRD,IPS1_SM,IPS2_KM,SKS1_B,SKS2_SB,IPK_SM
884,L,MTK,G3,SRJN,PDG,PNS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
2143,L,IF,G5,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
301,P,FISIKA,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
2262,P,IF,G3,SMTA,LL,PS,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
1224,P,MTK,G3,SMTA,LL,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
1796,P,BIO,G3,SRJN,PSN,PNS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_M
2083,P,IF,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
502,P,FISIKA,G2,SMTA,PS,PSN,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
2303,P,IF,G2,SMP,PDG,BPN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,IPK_CUM
153,P,FISIKA,G2,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
1629,L,BIO,G1,LL,BPN,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
1211,P,MTK,G2,SMP,LL,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
997,P,MTK,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_CUM
446,P,FISIKA,G3,SMTA,LL,LL,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
2255,L,IF,G2,SMTA,LL,PSN,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,IPK_CUM
1208,P,MTK,G2,SMTA,BPN,BPN,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
938,P,MTK,G1,SMP,BPN,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
2286,P,IF,G3,SRJN,GRD,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
1194,P,MTK,G2,SD,BPN,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
1606,L,BIO,G3,SMTA,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
202,L,FISIKA,G3,SRJN,GRD,GRD,IPS1_KM,IPS2_SM,SKS1_B,SKS2_C,IPK_SM
1035,P,MTK,G4,SMTA,BPN,GRD,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
848,P,MTK,G2,SRJN,GRD,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,IPK_M
891,P,MTK,G2,SD,LL,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
1022,P,MTK,G3,SRJN,PS,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
883,P,MTK,G3,SMP,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
